"data";"valor"
"01/01/1990";"3554"
"01/02/1990";"4567"
"01/03/1990";"2157"
"01/04/1990";"2808"
"01/05/1990";"3689"
"01/06/1990";"2349"
"01/07/1990";"2292"
"01/08/1990";"3808"
"01/09/1990";"4464"
"01/10/1990";"4077"
"01/11/1990";"3753"
"01/12/1990";"3828"
"01/01/1991";"3418"
"01/02/1991";"3308"
"01/03/1991";"3970"
"01/04/1991";"2830"
"01/05/1991";"3013"
"01/06/1991";"4289"
"01/07/1991";"4157"
"01/08/1991";"4522"
"01/09/1991";"4169"
"01/10/1991";"4365"
"01/11/1991";"2141"
"01/12/1991";"1511"
"01/01/1992";"1811"
"01/02/1992";"1104"
"01/03/1992";"2503"
"01/04/1992";"3066"
"01/05/1992";"2196"
"01/06/1992";"2200"
"01/07/1992";"2785"
"01/08/1992";"2220"
"01/09/1992";"2463"
"01/10/1992";"1828"
"01/11/1992";"2536"
"01/12/1992";"1608"
"01/01/1993";"1962"
"01/02/1993";"1929"
"01/03/1993";"3536"
"01/04/1993";"3345"
"01/05/1993";"3100"
"01/06/1993";"3014"
"01/07/1993";"2975"
"01/08/1993";"3392"
"01/09/1993";"3406"
"01/10/1993";"3379"
"01/11/1993";"3548"
"01/12/1993";"3815"
"01/01/1994";"3305"
"01/02/1994";"3152"
"01/03/1994";"3218"
"01/04/1994";"3371"
"01/05/1994";"3558"
"01/06/1994";"4289"
"01/07/1994";"4558"
"01/08/1994";"7812"
"01/09/1994";"4492"
"01/10/1994";"4870"
"01/11/1994";"5357"
"01/12/1994";"4714"
"01/01/1995";"4205"
"01/02/1995";"5189"
"01/03/1995";"6041"
"01/04/1995";"5006"
"01/05/1995";"5792"
"01/06/1995";"5938"
"01/07/1995";"4672"
"01/08/1995";"5091"
"01/09/1995";"4070"
"01/10/1995";"4247"
"01/11/1995";"3614"
"01/12/1995";"3149"
"01/01/1996";"3341"
"01/02/1996";"3442"
"01/03/1996";"4031"
"01/04/1996";"3761"
"01/05/1996";"3927"
"01/06/1996";"3074"
"01/07/1996";"3441"
"01/08/1996";"4024"
"01/09/1996";"3686"
"01/10/1996";"3758"
"01/11/1996";"3586"
"01/12/1996";"3464"
"01/01/1997";"3856"
"01/02/1997";"3671"
"01/03/1997";"4587"
"01/04/1997";"5026"
"01/05/1997";"4113"
"01/06/1997";"4724"
"01/07/1997";"5097"
"01/08/1997";"5410"
"01/09/1997";"5559"
"01/10/1997";"5775"
"01/11/1997";"4071"
"01/12/1997";"3068"
"01/01/1998";"4119"
"01/02/1998";"3568"
"01/03/1998";"5206"
"01/04/1998";"4920"
"01/05/1998";"9798"
"01/06/1998";"4620"
"01/07/1998";"4833"
"01/08/1998";"4872"
"01/09/1998";"4374"
"01/10/1998";"3628"
"01/11/1998";"3313"
"01/12/1998";"3471"
"01/01/1999";"3726"
