data,valor
01/03/1999,"75,72"
01/04/1999,"75,86"
01/05/1999,"77,29"
01/06/1999,"91,51"
01/07/1999,"99,11"
01/08/1999,"98,17"
01/09/1999,"99,03"
01/10/1999,"95,52"
01/11/1999,"93,87"
01/12/1999,"94,62"
01/01/2000,"100,91"
01/02/2000,"107,34"
01/03/2000,"100,09"
01/04/2000,"93,93"
01/05/2000,"89,44"
01/06/2000,"94,54"
01/07/2000,"98,31"
01/08/2000,"91,2"
01/09/2000,"92,02"
01/10/2000,"98,51"
01/11/2000,"99,37"
01/12/2000,"100,82"
01/01/2001,"111,34"
01/02/2001,"113,47"
01/03/2001,"108,55"
01/04/2001,"105,22"
01/05/2001,"102,4"
01/06/2001,"79,44"
01/07/2001,"87,2"
01/08/2001,"86,38"
01/09/2001,"90,74"
01/10/2001,"80,65"
01/11/2001,"78,31"
01/12/2001,"86,28"
01/01/2002,"87,04"
01/02/2002,"90,66"
01/03/2002,"91,3"
01/04/2002,96
01/05/2002,"96,15"
01/06/2002,"84,4"
01/07/2002,"93,81"
01/08/2002,"89,8"
01/09/2002,"99,22"
01/10/2002,"94,91"
01/11/2002,"98,68"
01/12/2002,"102,92"
01/01/2003,"102,97"
01/02/2003,"103,53"
01/03/2003,"101,89"
01/04/2003,"107,66"
01/05/2003,"112,04"
01/06/2003,"116,81"
01/07/2003,"111,47"
01/08/2003,"109,37"
01/09/2003,"106,41"
01/10/2003,"104,72"
01/11/2003,"108,68"
01/12/2003,"115,33"
01/01/2004,"124,16"
01/02/2004,"123,4"
01/03/2004,"113,29"
01/04/2004,"108,01"
01/05/2004,"124,23"
01/06/2004,"117,07"
01/07/2004,"118,5"
01/08/2004,"120,72"
01/09/2004,"128,43"
01/10/2004,"141,92"
01/11/2004,"144,96"
01/12/2004,"140,41"
01/01/2005,"145,02"
01/02/2005,"146,48"
01/03/2005,"144,95"
01/04/2005,"141,75"
01/05/2005,"133,62"
01/06/2005,"132,74"
01/07/2005,"133,21"
01/08/2005,"124,89"
01/09/2005,"109,24"
01/10/2005,"107,65"
01/11/2005,"117,23"
01/12/2005,"130,16"
01/01/2006,"131,52"
01/02/2006,"138,03"
01/03/2006,"137,75"
01/04/2006,"132,38"
01/05/2006,"138,2"
01/06/2006,"134,4"
01/07/2006,"134,17"
01/08/2006,"128,24"
01/09/2006,"131,36"
01/10/2006,"132,29"
01/11/2006,"134,62"
01/12/2006,"127,5"
01/01/2007,"133,89"
01/02/2007,"134,39"
01/03/2007,"127,87"
01/04/2007,"127,97"
01/05/2007,"126,49"
01/06/2007,"129,77"
01/07/2007,"130,12"
01/08/2007,"130,3"
01/09/2007,"131,81"
01/10/2007,"133,34"
01/11/2007,"136,25"
01/12/2007,"139,9"
01/01/2008,"142,61"
01/02/2008,"146,9"
01/03/2008,"147,72"
01/04/2008,"148,56"
01/05/2008,"147,36"
01/06/2008,"142,59"
01/07/2008,"131,23"
01/08/2008,"137,05"
01/09/2008,"141,28"
01/10/2008,"140,46"
01/11/2008,"133,85"
01/12/2008,"128,66"
01/01/2009,"125,16"
01/02/2009,"134,12"
01/03/2009,"130,88"
01/04/2009,"126,33"
01/05/2009,"128,95"
01/06/2009,"139,99"
01/07/2009,"145,01"
01/08/2009,"145,61"
01/09/2009,"148,81"
01/10/2009,"157,15"
01/11/2009,"155,79"
01/12/2009,"156,63"
01/01/2010,"160,47"
01/02/2010,"161,43"
01/03/2010,"159,92"
01/04/2010,"154,66"
01/05/2010,"155,77"
01/06/2010,"160,55"
01/07/2010,"157,16"
01/08/2010,"164,5"
01/09/2010,"162,62"
01/10/2010,"155,37"
01/11/2010,"160,06"
01/12/2010,"164,26"
01/01/2011,"160,83"
01/02/2011,"164,21"
01/03/2011,"160,29"
01/04/2011,"159,44"
01/05/2011,153
01/06/2011,"153,81"
01/07/2011,"152,93"
01/08/2011,"152,71"
01/09/2011,"154,08"
01/10/2011,"151,91"
01/11/2011,"155,36"
01/12/2011,"158,17"
01/01/2012,"158,33"
01/02/2012,"170,18"
01/03/2012,"164,42"
01/04/2012,"164,99"
01/05/2012,"163,05"
01/06/2012,"162,35"
01/07/2012,"160,56"
01/08/2012,"156,3"
01/09/2012,"158,29"
01/10/2012,"161,38"
01/11/2012,"159,69"
01/12/2012,"161,81"
01/01/2013,"160,55"
01/02/2013,"165,85"
01/03/2013,"159,96"
01/04/2013,"155,62"
01/05/2013,"145,97"
01/06/2013,"145,04"
01/07/2013,"136,73"
01/08/2013,"133,04"
01/09/2013,"136,74"
01/10/2013,"139,24"
01/11/2013,"138,01"
01/12/2013,"136,57"
01/01/2014,"131,74"
01/02/2014,"136,39"
01/03/2014,"125,78"
01/04/2014,"120,25"
01/05/2014,"109,48"
01/06/2014,"107,37"
01/07/2014,"109,55"
01/08/2014,"110,54"
01/09/2014,"118,92"
01/10/2014,"115,82"
01/11/2014,"115,99"
01/12/2014,"112,95"
01/01/2015,"112,69"
01/02/2015,"112,89"
01/03/2015,"106,86"
01/04/2015,"101,56"
01/05/2015,"91,77"
01/06/2015,"90,58"
01/07/2015,"84,55"
01/08/2015,"84,66"
01/09/2015,"85,53"
01/10/2015,"88,77"
01/11/2015,"85,55"
01/12/2015,"87,17"
01/01/2016,"89,04"
01/02/2016,"95,23"
01/03/2016,"89,31"
01/04/2016,"87,68"
01/05/2016,"90,85"
01/06/2016,"98,05"
01/07/2016,"97,67"
01/08/2016,"100,05"
01/09/2016,"106,95"
01/10/2016,"105,98"
01/11/2016,"110,3"
01/12/2016,"110,73"
01/01/2017,"102,25"
01/02/2017,"113,8"
01/03/2017,"109,38"
01/04/2017,"109,01"
01/05/2017,"103,49"
01/06/2017,"100,06"
01/07/2017,"104,78"
01/08/2017,"101,48"
01/09/2017,"99,67"
01/10/2017,"102,81"
01/11/2017,"103,96"
01/12/2017,"109,46"
01/01/2018,"116,96"
01/02/2018,"120,57"
01/03/2018,"115,64"
01/04/2018,"109,94"
01/05/2018,"113,5"
01/06/2018,104
01/07/2018,"103,48"
01/08/2018,"104,38"
01/09/2018,"106,79"
01/10/2018,"107,91"
01/11/2018,"114,5"
01/12/2018,"127,8"
01/01/2019,"128,64"
01/02/2019,"139,39"
01/03/2019,"125,53"
01/04/2019,"121,71"
01/05/2019,"117,01"
01/06/2019,"107,38"
01/07/2019,"110,92"
01/08/2019,"114,58"
01/09/2019,"112,19"
01/10/2019,"111,82"
01/11/2019,"118,64"
01/12/2019,"121,26"
01/01/2020,"121,27"
01/02/2020,"131,79"
01/03/2020,"124,58"
01/04/2020,"111,97"
01/05/2020,"96,82"
01/06/2020,"100,43"
01/07/2020,"102,84"
01/08/2020,"102,62"
01/09/2020,"108,36"
01/10/2020,"107,61"
01/11/2020,"111,65"
01/12/2020,"111,71"
