"","x"
"1",11.57
"2",10.88
"3",11.69
"4",11.69
"5",9.84
"6",13.22
"7",11.78
"8",11.03
"9",12.11
"10",12.92
"11",11.24
"12",11.71
"13",11.33
"14",12.27
"15",11.42
"16",12.16
"17",12.59
"18",12.99
"19",12.32
"20",11.17
"21",11.55
"22",12.32
"23",10.83
"24",10.2
"25",13.94
"26",11.96
"27",11.48
"28",10.83
"29",11.89
"30",11.33
"31",10.34
"32",11.57
"33",10.34
"34",10.97
"35",12.99
"36",11.57
"37",11.3
"38",11.55
"39",13.49
"40",12.32
"41",11.03
"42",11.03
"43",10.83
"44",10.27
"45",11.66
"46",11.48
"47",12.5
"48",11.55
"49",10.47
"50",10.54
"51",10.18
"52",11.89
"53",11.26
"54",12.5
"55",12.97
"56",11.78
"57",10.43
"58",11.03
"59",12.5
"60",12.72
"61",11.69
"62",10.04
"63",10.83
"64",11.64
"65",11.24
"66",10.27
"67",9.95
"68",11.69
"69",12.7
"70",10.11
"71",12.47
"72",11.01
"73",10.04
"74",10.04
"75",10.65
"76",12.23
"77",11.84
"78",12.16
"79",11.8
"80",11.42
"81",12.77
"82",12.06
"83",10.76
"84",10.76
"85",11.89
"86",11.21
"87",11.78
"88",10.31
"89",10.76
"90",11.78
"91",12.09
"92",10.22
"93",12.2
"94",10.7
"95",11.26
"96",10.58
"97",12.16
"98",13.58
"99",11.84
"100",10.83
"101",10.97
"102",11.19
"103",10.97
"104",10.97
"105",11.53
"106",11.53
"107",11.51
"108",11.51
"109",11.51
"110",11.84
"111",10.97
"112",10.43
"113",10.43
"114",10.02
"115",11.52
"116",10.97
"117",10.34
"118",10.02
"119",9.89
"120",10.92
"121",11.15
"122",11.15
"123",10.47
"124",10.4
"125",10.38
"126",10.85
"127",11.26
"128",10.58
"129",10.67
"130",11.15
"131",12.63
"132",11.24
"133",11.1
"134",10.97
"135",10.97
"136",11.57
"137",10
"138",9.91
"139",9.95
"140",10.13
"141",10.07
"142",9.71
"143",9.71
"144",9.8
"145",9.93
"146",10.43
"147",10.97
"148",9.82
"149",9.71
"150",9.71
"151",10.65
"152",10.22
"153",10.29
"154",9.89
"155",10.29
"156",9.95
"157",9.82
"158",10.9
"159",9.8
"160",9.71
"161",9.57
"162",9.89
"163",9.66
"164",9.89
"165",10.22
"166",10.74
"167",11.1
"168",11.1
"169",10.61
"170",11.51
"171",11.28
"172",10.74
"173",10.43
"174",10.34
"175",10.74
"176",9.66
"177",10.27
"178",10.29
"179",10.34
"180",10.65
"181",9.89
"182",10.34
"183",10.02
"184",11.28
"185",11.78
"186",10.97
"187",11.42
"188",14.66
"189",10.97
"190",11.37
"191",10.97
"192",12.59
"193",13.13
"194",11.73
"195",11.69
"196",11.73
"197",10.88
"198",11.91
"199",11.46
"200",11.6
"201",11.42
"202",11.28
"203",11.69
"204",11.62
"205",11.15
"206",11.64
"207",10.88
"208",10.79
"209",10.83
"210",10.43
"211",11.1
"212",10.92
"213",11.1
"214",10.47
"215",10.76
"216",11.1
"217",10.43
"218",11.03
"219",10.34
"220",10.74
"221",10.52
"222",10.11
"223",10.97
"224",10.92
"225",11.1
"226",11.15
"227",10.97
"228",11.96
"229",11.15
"230",11.62
"231",11.51
"232",11.42
"233",11.26
"234",11.08
"235",11.87
"236",11.91
"237",11.53
"238",12.54
"239",11.87
"240",11.96
"241",13.31
"242",14.12
"243",13.49
"244",12.9
"245",12.11
"246",12.32
"247",11.66
"248",11.24
"249",11.46
"250",10.79
"251",11.08
"252",10.97
"253",11.06
"254",10.72
"255",10.65
"256",11.28
"257",13.4
"258",9.59
"259",9.59
"260",11.37
"261",11.33
"262",11.37
"263",11.51
"264",11.17
"265",11.57
"266",11.57
"267",11.33
"268",11.1
"269",11.55
"270",11.89
"271",12.6
"272",11.89
"273",11.51
"274",10.97
"275",12.09
"276",11.3
"277",12.95
"278",13.08
"279",12.5
"280",12.05
"281",13.1
"282",12.5
"283",11.55
"284",11.01
"285",11
"286",11.03
"287",11.21
"288",11.21
"289",10.97
"290",11.06
"291",12.59
"292",12.61
"293",11.24
"294",11.96
"295",12.05
"296",12.05
"297",11.19
"298",10.88
"299",12.5
"300",10.94
"301",11.98
"302",11.21
"303",11.64
"304",12.11
"305",11.53
"306",11.46
"307",11.26
"308",12.88
"309",11.75
"310",11.71
"311",10.81
"312",11.33
"313",11.64
"314",11.55
"315",11.55
"316",11.55
"317",11.6
"318",10.94
"319",10.54
"320",10.67
"321",10.44
"322",9.48
"323",10.99
"324",10.16
"325",10.65
"326",10.67
"327",10.72
"328",10.76
"329",10.81
"330",11.96
"331",11.96
"332",11.51
"333",10.88
"334",11.28
"335",11.51
"336",12.36
"337",12.16
"338",12.88
"339",12.97
"340",11.82
"341",13.06
"342",10.43
"343",11.84
"344",10.54
"345",11.69
"346",10.43
"347",9.8
"348",10.72
"349",11.89
"350",11.51
"351",11.42
"352",11.93
"353",11.51
"354",10.97
"355",11.44
"356",10.97
"357",10.94
"358",11.53
"359",11.08
"360",9.35
"361",10.81
"362",10.81
"363",10.97
