"","food_exp","income"
"1",115.22,3.69
"2",135.98,4.39
"3",119.34,4.75
"4",114.96,6.03
"5",187.05,12.47
"6",243.92,12.98
"7",267.43,14.2
"8",238.71,14.76
"9",295.94,15.32
"10",317.78,16.39
"11",216,17.35
"12",240.35,17.77
"13",386.57,17.93
"14",261.53,18.43
"15",249.34,18.55
"16",309.87,18.8
"17",345.89,18.81
"18",165.54,19.04
"19",196.98,19.22
"20",395.26,19.93
"21",406.34,20.13
"22",171.92,20.33
"23",303.23,20.37
"24",377.04,20.43
"25",194.35,21.45
"26",213.48,22.52
"27",293.87,22.55
"28",259.61,22.86
"29",323.71,24.2
"30",275.02,24.39
"31",109.71,24.42
"32",359.19,25.2
"33",201.51,25.5
"34",460.36,26.61
"35",447.76,26.7
"36",482.55,27.14
"37",438.29,27.16
"38",587.66,28.62
"39",257.95,29.4
"40",375.73,33.4
